epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.08318063376569435,0.015668827193704517,1.0,0.0,0.0,0.0
2,0.01245326284940044,0.0054679272950372915,1.0,0.0,0.0,0.0
3,0.008264637068159095,0.0020001325544647193,1.0,0.0,0.0,0.0
4,0.007303382273101689,0.0020219900391318583,1.0,0.0,0.0,0.0
5,0.006713751163292807,0.0009848554830320857,1.0,0.0,0.0,0.0
6,0.0065439509548524625,0.0014667050404982133,1.0,0.0,0.0,0.0
7,0.00653550245803209,0.0007277796817520125,1.0,0.0,0.0,0.0
8,0.006399420775236203,0.0007474844354543496,1.0,0.0,0.0,0.0
9,0.00614772949637355,0.00099566172469746,1.0,0.0,0.0,0.0
10,0.005953321510133448,0.001147569972090423,1.0,0.0,0.0,0.0
11,0.005940716961815365,0.0007278332857161083,1.0,0.0,0.0,0.0
12,0.006393020683102996,0.0006623039794662459,1.0,0.0,0.0,0.0
13,0.00652483545740037,0.0006625348469242454,1.0,0.0,0.0,0.0
14,0.006110172008527769,0.0007512971959923478,1.0,0.0,0.0,0.0
15,0.006270493649808167,0.0005902303488586437,1.0,0.0,0.0,0.0
16,0.006095745653861709,0.0009290858499959788,1.0,0.0,0.0,0.0
17,0.007754292927290264,0.0009373250332745639,1.0,0.0,0.0,0.0
18,0.006676725424384992,0.0013028847752138972,1.0,0.0,0.0,0.0
19,0.006429422781557629,0.003256326181475412,1.0,0.0,0.0,0.0
20,0.006281334858820692,0.0008344594124619933,1.0,0.0,0.0,0.0
21,0.006401851913164647,0.00035310410815079444,1.0,0.0,0.0,0.0
22,0.0058517460415156135,0.0007877827844243835,1.0,0.0,0.0,0.0
23,0.006580217810104634,0.00046454041148535907,1.0,0.0,0.0,0.0
24,0.005981788283271159,0.000695184259463779,1.0,0.0,0.0,0.0
25,0.006206952279490794,0.000630610754755749,1.0,0.0,0.0,0.0
